,h1_weight_delta,h2_weight_delta,h3_weight_delta
179,0.030653139736323175,0.03506843885769928,0.03481824350576975
180,0.0,0.0,0.0
181,0.0,0.0,0.0
182,0.0,0.0,0.0
183,0.0,0.0,0.0
184,0.0,0.0,0.0
185,0.0,0.0,0.0
186,0.03008310160440305,0.03412537863860339,0.03440121268338208
187,0.0,0.0,0.0
188,0.0,0.0,0.0
189,0.0,0.0,0.0
190,0.0,0.0,0.0
191,0.0,0.0,0.0
192,0.0,0.0,0.0
193,0.029615393619102454,0.033332811231046706,0.033955693152231105
194,0.0,0.0,0.0
195,0.0,0.0,0.0
196,0.0,0.0,0.0
